Name_Of_Region,Average_Deaths
Central America,3.573544052
SE Asia,1.244031221
N America,1.439185313
S America,1.64955712
W Europe,0.416985751
SSA ,4.777209642
MEA ,2.808000632
E Asia,1.500650195
EE ,1.476633663
OC ,0.510067114
S Asia,2.379764277
Central Asia,1.825396825
